task_id,run_id,flow_id,hpo_config,predictive_accuracy
16,573723,1720,"{'weka.J48(33)_C': '0.25', 'weka.J48(33)_M': '2', 'weka.J48(33)_num-decimal-places': '4'}",0.8095
16,573769,1724,"{'weka.REPTree(15)_M': '2', 'weka.REPTree(15)_V': '1.0E-4', 'weka.REPTree(15)_N': '3', 'weka.REPTree(15)_S': '1', 'weka.REPTree(15)_L': '-1', 'weka.REPTree(15)_I': '0.0'}",0.773
16,573806,1718,{'weka.ZeroR(9)_num-decimal-places': '3'},0.1
16,573845,1725,"{'weka.RandomTree(11)_K': '0', 'weka.RandomTree(11)_M': '1.0', 'weka.RandomTree(11)_V': '0.001', 'weka.RandomTree(11)_S': '1', 'weka.RandomTree(11)_num-decimal-places': '4'}",0.731
16,573884,1725,"{'weka.RandomTree(11)_K': '0', 'weka.RandomTree(11)_M': '1.0', 'weka.RandomTree(11)_V': '1.0E-4', 'weka.RandomTree(11)_S': '1', 'weka.RandomTree(11)_num-decimal-places': '4'}",0.731
16,573923,1724,"{'weka.REPTree(15)_M': '2', 'weka.REPTree(15)_V': '0.001', 'weka.REPTree(15)_N': '3', 'weka.REPTree(15)_S': '1123', 'weka.REPTree(15)_L': '10', 'weka.REPTree(15)_I': '0.0', 'weka.REPTree(15)_num-decimal-places': '3'}",0.787
16,574036,2247,{},0.964
16,574091,2255,{},0.708
16,574145,2256,"{'weka.Ridor(4)_F': '3', 'weka.Ridor(4)_S': '1', 'weka.Ridor(4)_N': '2.0'}",0.8055
16,574170,2257,"{'weka.OLM(4)_R': '0', 'weka.OLM(4)_C': '1', 'weka.OLM(4)_U': '0'}",0.106
16,574213,2258,"{'weka.FURIA(2)_F': '3', 'weka.FURIA(2)_N': '2.0', 'weka.FURIA(2)_O': '2', 'weka.FURIA(2)_S': '1', 'weka.FURIA(2)_s': '0', 'weka.FURIA(2)_p': '0'}",0.878
16,574246,3903,"{'weka.DecisionTable(1)_S': 'weka.attributeSelection.BestFirst -D 1 -N 5', 'weka.DecisionTable(1)_X': '1'}",0.632
16,574287,2261,"{'weka.ConjunctiveRule(4)_N': '3', 'weka.ConjunctiveRule(4)_M': '2.0', 'weka.ConjunctiveRule(4)_P': '-1', 'weka.ConjunctiveRule(4)_S': '1'}",0.1915
16,574326,2264,{'weka.LADTree(7)_B': '10'},0.769
16,574405,2267,"{'weka.AdaBoostM1_DecisionStump(14)_P': '100', 'weka.AdaBoostM1_DecisionStump(14)_S': '1', 'weka.AdaBoostM1_DecisionStump(14)_I': '10', 'weka.AdaBoostM1_DecisionStump(14)_W': 'weka.classifiers.trees.DecisionStump'}",0.1945
16,574441,2268,"{'weka.J48(33)_C': '0.25', 'weka.J48(33)_M': '2', 'weka.AdaBoostM1_J48(3)_P': '100', 'weka.AdaBoostM1_J48(3)_S': '1', 'weka.AdaBoostM1_J48(3)_I': '10', 'weka.AdaBoostM1_J48(3)_W': 'weka.classifiers.trees.J48'}",0.929
