dataset,SVC,RandomForest,DecisionTree,GradientBoosting
seeds,0.9238095238095237,0.9190476190476191,0.8952380952380953,0.9238095238095239
wall-following,0.8863605993761814,0.9946844478466843,0.9954175522003202,0.9974335472043997
parkinsons,0.8717948717948717,0.8871794871794872,0.8615384615384615,0.9179487179487179
miniboone,0.8927297290093288,0.9365235588595653,0.8928219923442979,0.9282814666195097
teaching,0.5423655913978495,0.6294623655913979,0.6098924731182795,0.563010752688172
ecoli,0.8809523809523809,0.8660714285714286,0.7559523809523809,0.8363095238095238
mammographic,0.8283193005181347,0.7897992227979274,0.7451047063903282,0.8210276338514682
vertebral-column-2clases,0.8548387096774194,0.8419354838709678,0.7935483870967743,0.829032258064516
titanic,0.7823644609358895,0.7882735518449804,0.7882735518449804,0.7882735518449804
twonorm,0.9766216216216217,0.9701351351351353,0.8422972972972973,0.970135135135135
plant-texture,0.8192692006269592,0.8324059561128527,0.5109228056426331,0.5878546238244514
wine-quality-white,0.5671680807154322,0.6843563819807801,0.6047316086802443,0.593711200516979
breast-cancer-wisc,0.9627852004110997,0.9670914696813977,0.9370298047276464,0.9656526207605344
steel-plates,0.7501245594042351,0.7784790501682877,0.7300612196220815,0.7908316327882755
acute-inflammation,1.0,1.0,1.0,1.0
thyroid,0.9527777777777778,0.9952777777777777,0.9952777777777777,0.9951388888888889
monks-3,0.9458640458640459,0.9692874692874692,0.9765274365274366,0.9855692055692057
nursery,0.9751543209876543,0.9924382716049382,0.992283950617284,0.9951388888888889
oocytes_merluccius_nucleus_4d,0.7651506456241034,0.8003921568627451,0.7191774270683884,0.8023768531802965
energy-y2,0.8841100076394195,0.90887870299635,0.9074951192598253,0.9140565317035907
adult,0.8495761509376004,0.8568239833185067,0.8110847682195823,0.8671634746258559
arrhythmia,0.5685840707964602,0.6946902654867256,0.6349557522123894,0.7057522123893805
monks-2,0.6638980716253442,0.7354683195592286,0.8386914600550964,0.6206473829201102
connect-4,0.8340068849016692,0.872315298514085,0.8202555707629233,0.8194117886270244
waveform,0.8606,0.8495999999999999,0.7522,0.8507999999999999
heart-cleveland,0.5777049180327869,0.5809836065573771,0.49213114754098364,0.5509289617486339
image-segmentation,0.9428571428571427,0.9792207792207792,0.9627705627705628,0.98008658008658
vertebral-column-3clases,0.8387096774193548,0.8354838709677418,0.7806451612903226,0.8193548387096774
led-display,0.712,0.712,0.704,0.712
yeast,0.6024570024570025,0.6098689598689598,0.5040654290654291,0.5997724997724998
dermatology,0.9726397630507219,0.9808589411329137,0.9425398000740465,0.9699370603480192
lenses,0.7083333333333333,0.7916666666666666,0.7916666666666666,0.6666666666666666
plant-margin,0.8237499999999999,0.84375,0.44812499999999994,0.5450000000000002
hepatitis,0.8258064516129032,0.8193548387096774,0.7483870967741935,0.7677419354838709
pittsburg-bridges-REL-L,0.689047619047619,0.699047619047619,0.679047619047619,0.7271428571428571
waveform-noise,0.8604,0.8492,0.7482,0.8532
wine-quality-red,0.6253898902821315,0.7010579937304076,0.6197629310344827,0.6541692789968652
hayes-roth,0.81875,0.825,0.8125,0.81875
